# Time,Pump,Signal,Idler,Depletion_pct
0.000000000000000000e+00,3.192833446935100739e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525252525252525415e-01,3.187484806107159230e+00,2.930743596370438252e-03,2.930743596370438252e-03,1.675201953636458463e-01
5.050505050505050830e-01,3.176270087762643524e+00,1.172939575597546982e-02,1.172939575597546982e-02,5.187667771507747938e-01
7.575757575757575690e-01,3.159155183784186249e+00,2.643006320955258726e-02,2.643006320955258726e-02,1.054808016473370635e+00
1.010101010101010166e+00,3.136075885482509484e+00,4.709695326079737371e-02,4.709695326079737371e-02,1.777654938658782324e+00
1.262626262626262763e+00,3.106942100732178247e+00,7.382015665061311682e-02,7.382015665061311682e-02,2.690129241955049100e+00
1.515151515151515138e+00,3.071643703156268224e+00,1.067097983724415999e-01,1.067097983724415999e-01,3.795680100230918619e+00
1.767676767676767735e+00,3.030058054551624469e+00,1.458885152470010826e-01,1.458885152470010826e-01,5.098148559541349378e+00
2.020202020202020332e+00,2.982059106417272787e+00,1.914823543938780348e-01,1.914823543938780348e-01,6.601482476956532786e+00
2.272727272727272929e+00,2.927528136869663289e+00,2.436100363162785332e-01,2.436100363162785332e-01,8.309400238841528008e+00
2.525252525252525526e+00,2.866365916041620387e+00,3.023707895020811276e-01,3.023707895020811276e-01,1.022500973882200448e+01
2.777777777777778123e+00,2.798506254789506542e+00,3.678308017166714849e-01,3.678308017166714849e-01,1.235038403033897758e+01
3.030303030303030276e+00,2.723930513771293249e+00,4.400087109248669304e-01,4.400087109248669304e-01,1.468610690024942933e+01
3.282828282828282873e+00,2.642682737676306459e+00,5.188604710611772752e-01,5.188604710611772752e-01,1.723079886258711113e+01
3.535353535353535470e+00,2.554885011505898085e+00,6.042639957491252600e-01,6.042639957491252600e-01,1.998063619765663290e+01
3.787878787878788067e+00,2.460752322750563881e+00,6.960042961241341697e-01,6.960042961241340587e-01,2.292888546652140747e+01
4.040404040404040664e+00,2.360606122673148288e+00,7.937599195503153293e-01,7.937599195503153293e-01,2.606547876967503896e+01
4.292929292929293261e+00,2.254886188823541193e+00,8.970910871057784508e-01,8.970910871057784508e-01,2.937664221138512843e+01
4.545454545454545858e+00,2.144159465164091394e+00,1.005430853457210727e+00,1.005430853457210727e+00,3.284461902570156866e+01
4.797979797979798455e+00,2.029125753099214613e+00,1.118079415830271817e+00,1.118079415830271817e+00,3.644749133259566065e+01
5.050505050505051052e+00,1.910618781956756829e+00,1.234203043528226074e+00,1.234203043528226074e+00,4.015914661033075106e+01
5.303030303030303649e+00,1.789602755232962972e+00,1.352837531686979178e+00,1.352837531686979178e+00,4.394938586756356358e+01
5.555555555555556246e+00,1.667163813461367994e+00,1.472896738406181294e+00,1.472896738406181294e+00,4.778419102751099956e+01
5.808080808080808843e+00,1.544495843630682597e+00,1.593186775331341787e+00,1.593186775331341787e+00,5.162616937901061220e+01
6.060606060606060552e+00,1.422881334715419221e+00,1.712425152123203231e+00,1.712425152123203009e+00,5.543515318403824210e+01
6.313131313131313149e+00,1.303667475394001407e+00,1.829264678739627170e+00,1.829264678739627170e+00,5.916894830059388255e+01
6.565656565656565746e+00,1.188237802416761912e+00,1.942321817067603318e+00,1.942321817067603318e+00,6.278422215986905996e+01
6.818181818181818343e+00,1.077980962765436868e+00,2.050207918763747195e+00,2.050207918763747195e+00,6.623748213987722977e+01
7.070707070707070940e+00,9.742574389539364610e-01,2.151562499953532104e+00,2.151562499953532104e+00,6.948611773379046497e+01
7.323232323232323537e+00,8.783655320316782200e-01,2.245087258227956184e+00,2.245087258227956184e+00,7.248946596713811630e+01
7.575757575757576134e+00,7.915078746677935984e-01,2.329579559559328050e+00,2.329579559559328050e+00,7.520986021279668421e+01
7.828282828282828731e+00,7.147605836898793807e-01,2.403963285762527047e+00,2.403963285762527047e+00,7.761359633788600831e+01
8.080808080808081328e+00,6.490457325973787439e-01,2.467316361981608530e+00,2.467316361981608974e+00,7.967179486858552195e+01
8.333333333333333925e+00,5.951081417695627263e-01,2.518893966481828173e+00,2.518893966481828173e+00,8.136112792413817374e+01
8.585858585858586522e+00,5.534984673151461809e-01,2.558145441800028674e+00,2.558145441800028674e+00,8.266434887649820951e+01
8.838383838383839120e+00,5.245621841967642585e-01,2.584725311620150734e+00,2.584725311620150734e+00,8.357063740044732469e+01
9.090909090909091717e+00,5.084353477273145794e-01,2.598497519276902423e+00,2.598497519276902423e+00,8.407573222413535063e+01
9.343434343434344314e+00,5.050469474091962008e-01,2.599533073916516557e+00,2.599533073916516557e+00,8.418185740649872173e+01
9.595959595959596911e+00,5.141277053804826913e-01,2.588101252050570178e+00,2.588101252050570178e+00,8.389744676866844486e+01
9.848484848484849508e+00,5.352243860886822802e-01,2.564655287882226631e+00,2.564655287882226631e+00,8.323669571294234970e+01
1.010101010101010210e+01,5.677190373907946563e-01,2.529813132206187198e+00,2.529813132206187198e+00,8.221895858878058050e+01
1.035353535353535470e+01,6.108521149291283869e-01,2.484334328032862249e+00,2.484334328032861805e+00,8.086802443404918961e+01
1.060606060606060730e+01,6.637479396178824764e-01,2.429094553101786680e+00,2.429094553101786680e+00,7.921131964290105998e+01
1.085858585858585990e+01,7.254417100043473177e-01,2.365058607520428513e+00,2.365058607520428513e+00,7.727906193476140118e+01
1.111111111111111249e+01,7.949067720652940316e-01,2.293253143967796337e+00,2.293253143967796337e+00,7.510340626040643031e+01
1.136363636363636509e+01,8.710810301188823823e-01,2.214740256782521399e+00,2.214740256782521399e+00,7.271761760842677802e+01
1.161616161616161769e+01,9.528911296288036237e-01,2.130593299158722864e+00,2.130593299158722864e+00,7.015531359634454134e+01
1.186868686868687028e+01,1.039274934503435333e+00,2.041874405846856089e+00,2.041874405846856089e+00,6.744976047839051603e+01
1.212121212121212110e+01,1.129200051932354176e+00,1.949615968317183867e+00,1.949615968317183867e+00,6.463329294497624744e+01
1.237373737373737370e+01,1.221679251803194921e+00,1.854805215342931746e+00,1.854805215342931746e+00,6.173683118435374695e+01
1.262626262626262630e+01,1.315782618167956830e+00,1.758372061533971742e+00,1.758372061533971742e+00,5.878950029695356960e+01
1.287878787878787890e+01,1.410645572167996908e+00,1.661181084411832209e+00,1.661181084411832209e+00,5.581837901622714071e+01
1.313131313131313149e+01,1.505474128922674959e+00,1.564026267521054780e+00,1.564026267521054780e+00,5.284833506214281584e+01
1.338383838383838409e+01,1.599547054068774177e+00,1.467628843889765333e+00,1.467628843889765555e+00,4.990195759806297815e+01
1.363636363636363669e+01,1.692215492280748190e+00,1.372637667509428949e+00,1.372637667509428949e+00,4.699956886554298308e+01
1.388888888888888928e+01,1.782900657206279327e+00,1.279631523399297643e+00,1.279631523399297643e+00,4.415929653587973291e+01
1.414141414141414188e+01,1.871090131370417353e+00,1.189122827702264518e+00,1.189122827702264518e+00,4.139718959764297779e+01
1.439393939393939448e+01,1.956333154042810829e+00,1.101562339817625746e+00,1.101562339817625524e+00,3.872736594134732258e+01
1.464646464646464707e+01,2.038235288669642653e+00,1.017344494969161461e+00,1.017344494969161461e+00,3.616217937624627865e+01
1.489898989898989967e+01,2.116453228980947010e+00,9.368125980977994871e-01,9.368125980977994871e-01,3.371238230379364609e+01
1.515151515151515227e+01,2.190689628424548729e+00,8.602639944276880835e-01,8.602639944276880835e-01,3.138728766051172414e+01
1.540404040404040487e+01,2.260688289492073899e+00,7.879548801401778935e-01,7.879548801401776714e-01,2.919491958898831996e+01
1.565656565656565746e+01,2.326230039808633521e+00,7.201044262841399535e-01,7.201044262841400645e-01,2.714214259933748252e+01
1.590909090909091006e+01,2.387129026768856299e+00,6.568984841399335695e-01,6.568984841399336805e-01,2.523477762172859329e+01
1.616161616161616266e+01,2.443229533643083151e+00,5.984927691132045924e-01,5.984927691132045924e-01,2.347770172639557629e+01
1.641414141414141525e+01,2.494403280346769947e+00,5.450155599654923355e-01,5.450155599654922245e-01,2.187493266392506186e+01
1.666666666666666785e+01,2.540546912532595236e+00,4.965702097221122435e-01,4.965702097221122435e-01,2.042970750725051232e+01
1.691919191919192045e+01,2.581579596673878818e+00,4.532375505887393796e-01,4.532375505887393796e-01,1.914455797398337111e+01
1.717171717171717304e+01,2.617440687697680346e+00,4.150782263183097065e-01,4.150782263183097620e-01,1.802138347647784755e+01
1.742424242424242564e+01,2.648087201323277462e+00,3.821352198725413429e-01,3.821352198725412319e-01,1.706153028855112908e+01
1.767676767676767824e+01,2.673491142017812017e+00,3.544365254662880105e-01,3.544365254662880105e-01,1.626587523429452631e+01
1.792929292929293084e+01,2.693636735771320900e+00,3.319979157925044833e-01,3.319979157925044833e-01,1.563491235795510015e+01
1.818181818181818343e+01,2.708517595303092662e+00,3.148257768158924663e-01,3.148257768158924108e-01,1.516884171007785476e+01
1.843434343434343603e+01,2.718134071525167617e+00,3.029197563093965484e-01,3.029197563093964929e-01,1.486765230004752425e+01
1.868686868686868863e+01,2.722490862395005706e+00,2.962751550015407798e-01,2.962751550015407243e-01,1.473119698716484649e+01
1.893939393939394122e+01,2.721595344124649429e+00,2.948845953672601938e-01,2.948845953672602493e-01,1.475924474741415970e+01
1.919191919191919382e+01,2.715456750324082513e+00,2.987388424845414114e-01,2.987388424845414669e-01,1.495150638281075572e+01
1.944444444444444642e+01,2.704086423921840954e+00,3.078265521138158212e-01,3.078265521138157657e-01,1.530762663121131872e+01
1.969696969696969902e+01,2.687499377022607217e+00,3.221327108403572725e-01,3.221327108403572725e-01,1.582713531135108909e+01
1.994949494949495161e+01,2.665717289350904018e+00,3.416356376305933473e-01,3.416356376305933473e-01,1.650935341115872390e+01
2.020202020202020421e+01,2.638772828684967209e+00,3.663026633982315872e-01,3.663026633982315872e-01,1.735325777114974244e+01
2.045454545454545681e+01,2.606715208005582873e+00,3.960845738554162887e-01,3.960845738554162887e-01,1.835730703373051753e+01
2.070707070707070940e+01,2.569616749374110221e+00,4.309090456347104969e-01,4.309090456347105524e-01,1.951923606160024960e+01
2.095959595959596200e+01,2.527580017107937671e+00,4.706735131136381423e-01,4.706735131136380867e-01,2.083583252567591160e+01
2.121212121212121460e+01,2.480745160112812098e+00,5.152378260823495815e-01,5.152378260823495815e-01,2.230270694219406025e+01
2.146464646464646719e+01,2.429296760022397805e+00,5.644174016040690578e-01,5.644174016040690578e-01,2.391407818800085749e+01
2.171717171717171979e+01,2.373469793290436058e+00,6.179772619229298991e-01,6.179772619229298991e-01,2.566258676697329832e+01
2.196969696969697239e+01,2.313554086338891480e+00,6.756275793158248444e-01,6.756275793158248444e-01,2.753915527414236308e+01
2.222222222222222499e+01,2.249896957426239741e+00,7.370210342241250157e-01,7.370210342241250157e-01,2.953290565200056861e+01
2.247474747474747758e+01,2.182903425183425838e+00,8.017526067177153104e-01,8.017526067177153104e-01,3.163115265912594865e+01
2.272727272727273018e+01,2.113034180378713600e+00,8.693616047301455652e-01,8.693616047301456762e-01,3.381946739479692354e+01
2.297979797979798278e+01,2.040800749871199304e+00,9.393365001051160457e-01,9.393365001051162677e-01,3.608182876465959055e+01
2.323232323232323537e+01,1.966758465477667528e+00,1.011121959729619268e+00,1.011121959729619268e+00,3.840084369682297449e+01
2.348484848484848797e+01,1.891497401033605419e+00,1.084127908472934276e+00,1.084127908472934498e+00,4.075803099440366850e+01
2.373737373737374057e+01,1.815631344871479147e+00,1.157740556708331203e+00,1.157740556708331203e+00,4.313416671908271383e+01
2.398989898989899316e+01,1.739786008718721355e+00,1.231334191415098811e+00,1.231334191415098811e+00,4.550965349010623839e+01
2.424242424242424221e+01,1.664586492658213679e+00,1.304283711218062525e+00,1.304283711218062525e+00,4.786491308351516238e+01
2.449494949494949481e+01,1.590645036956838565e+00,1.375976874559014851e+00,1.375976874559014407e+00,5.018077004662590213e+01
2.474747474747474740e+01,1.518549476137305065e+00,1.445825845624905126e+00,1.445825845624905126e+00,5.243881331815138935e+01
2.500000000000000000e+01,1.448852947442742511e+00,1.513277485883239626e+00,1.513277485883239182e+00,5.462171856056126984e+01
