power_mW,state,fidelity,visibility,HH,VV,HV,VH,total
20,PsiMinus,0.00439791301135839,-0.9912041739772832,157,224,44746,41505,86632
20,PsiPlus,0.004168585905112851,-0.9916628281897742,174,188,44985,41493,86840
50,PsiMinus,0.0054214171353693255,-0.9891571657292614,485,690,112165,103393,216733
50,PsiPlus,0.005321695058426017,-0.989356609883148,632,502,110203,101753,213090
100,PsiMinus,0.0072671727457878175,-0.9854656545084244,1421,1719,223381,205559,432080
100,PsiPlus,0.0068301391725387834,-0.9863397216549225,1662,1368,228593,211999,443622
150,PsiMinus,0.008557015650874985,-0.9828859686982501,2509,3082,336563,311228,653382
150,PsiPlus,0.008041011762256687,-0.9839179764754866,2711,2542,336097,311926,653276
200,PsiMinus,0.01006092931003539,-0.9798781413799292,4069,4676,447234,413225,869204
200,PsiPlus,0.009782149195064085,-0.9804357016098718,4527,4243,460631,427130,896531
250,PsiMinus,0.011229052154262658,-0.9775418956914746,5508,6537,548775,511844,1072664
250,PsiPlus,0.01095026676118345,-0.9780994664776331,5899,5841,549290,511090,1072120
