# Fidelity,Bell_parameter_S
5.000000000000000000e-01,1.414213562373094923e+00
5.500000000000000444e-01,1.555634918610404815e+00
5.999999999999999778e-01,1.697056274847714041e+00
6.500000000000000222e-01,1.838477631085023489e+00
6.999999999999999556e-01,1.979898987322333159e+00
7.500000000000000000e-01,2.121320343559642829e+00
8.000000000000000444e-01,2.262741699796952499e+00
8.500000000000000888e-01,2.404163056034262169e+00
9.000000000000000222e-01,2.545584412271571395e+00
9.499999999999999556e-01,2.687005768508880621e+00
1.000000000000000000e+00,2.828427124746189847e+00
