# Pump_power_mW,Pairs_per_pulse,Detected_rate_Hz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.040816326530612201e+01,7.173511652361932445e-01,1.012325964381315716e+05
4.081632653061224403e+01,2.331214326928789937e+00,3.289809658161907573e+05
6.122448979591836604e+01,5.476518028307179264e+00,7.728462241547090234e+05
8.163265306122448806e+01,1.110288776919636078e+01,1.566839521988990251e+06
1.020408163265306030e+02,2.059476964225505924e+01,2.906333891915033571e+06
1.224489795918367321e+02,3.592886095883885389e+01,5.070280858511338942e+06
1.428571428571428612e+02,5.987861773327506398e+01,8.450070534519776702e+06
1.632653061224489761e+02,9.627782111696399170e+01,1.358672611602595635e+07
1.836734693877550910e+02,1.503578383631437987e+02,2.121849814980684966e+07
2.040816326530612059e+02,2.291763873187496756e+02,3.234137177842194960e+07
2.244897959183673493e+02,3.421593981157471376e+02,4.828553426209422946e+07
2.448979591836734642e+02,5.017820675432055850e+02,7.081148537169715762e+07
2.653061224489795791e+02,7.244205430494814664e+02,1.022302270351428092e+08
2.857142857142857224e+02,1.031411996030059754e+03,1.455528608797620237e+08
3.061224489795918089e+02,1.450368311349784108e+03,2.046759760976814926e+08
3.265306122448979522e+02,2.016797420122707990e+03,2.846104519277165532e+08
3.469387755102040956e+02,2.776096652145146436e+03,3.917627595507230163e+08
3.673469387755101820e+02,3.785994631814512559e+03,5.342795624416639209e+08
3.877551020408163254e+02,5.119532472316008352e+03,7.224684224932349920e+08
4.081632653061224119e+02,6.868691664449831478e+03,9.693097676871600151e+08
4.285714285714285552e+02,9.148795483138341297e+03,1.291078018580482483e+09
4.489795918367346985e+02,1.210383337447875238e+04,1.708092965806441307e+09
4.693877551020407850e+02,1.591288412804515974e+04,2.245626208149732590e+09
4.897959183673469283e+02,2.079784424062855760e+04,2.934991779237501621e+09
5.102040816326530717e+02,2.703270337413866582e+04,3.814855100158447742e+09
5.306122448979591582e+02,3.495464992525354319e+04,4.932800197451779366e+09
5.510204081632653015e+02,4.497733728002064890e+04,6.347201836956512451e+09
5.714285714285714448e+02,5.760669625729604013e+04,8.129456975829616547e+09
5.918367346938775881e+02,7.345974261097368435e+04,1.036663887726060486e+10
6.122448979591836178e+02,9.328690146464642021e+04,1.316464753469090080e+10
6.326530612244897611e+02,1.179984545555694785e+05,1.665194190688196182e+10
6.530612244897959044e+02,1.486958127089497866e+05,2.098395308948698807e+10
6.734693877551020478e+02,1.867084267916795216e+05,2.634829318884180832e+10
6.938775510204081911e+02,2.336372774760701577e+05,3.297089259742301559e+10
7.142857142857142208e+02,2.914060297021190054e+05,4.112321891156302643e+10
7.346938775510203641e+02,3.623211042692489573e+05,5.113075423447640991e+10
7.551020408163265074e+02,4.491421093419425888e+05,6.338293447033493042e+10
7.755102040816326507e+02,5.551642920016582357e+05,7.834478488727398682e+10
7.959183673469387941e+02,6.843149179026555503e+05,9.657052121442274475e+10
8.163265306122448237e+02,8.412657696208519628e+05,1.187194254088946075e+11
8.367346938775509670e+02,1.031564275949988980e+06,1.455743506220624390e+11
8.571428571428571104e+02,1.261786150282839546e+06,1.780632615279142761e+11
8.775510204081632537e+02,1.539712832022214076e+06,2.172842748549748230e+11
8.979591836734693970e+02,1.874537497095348546e+06,2.645347315900955200e+11
9.183673469387755404e+02,2.277103939266900998e+06,3.213449079093450317e+11
9.387755102040815700e+02,2.760183231089978013e+06,3.895170575714176636e+11
9.591836734693877133e+02,3.338793760990129318e+06,4.711705755509270020e+11
9.795918367346938567e+02,4.030571021197117399e+06,5.687941825113370361e+11
1.000000000000000000e+03,4.856194401262042113e+06,6.853061539060992432e+11
