filename,power_mW,state,"TT__a,a","TT__a,d","TT__a,h","TT__a,l","TT__a,r","TT__a,v","TT__d,a","TT__d,d","TT__d,h","TT__d,l","TT__d,r","TT__d,v","TT__h,a","TT__h,d","TT__h,h","TT__h,l","TT__h,r","TT__h,v","TT__l,a","TT__l,d","TT__l,h","TT__l,l","TT__l,r","TT__l,v","TT__r,a","TT__r,d","TT__r,h","TT__r,l","TT__r,r","TT__r,v","TT__v,a","TT__v,d","TT__v,h","TT__v,l","TT__v,r","TT__v,v"
PSIMINUStwoQBtomo_100mW_2023-02-10--15h-44m_10--15h-52mS1.csv,100.0,PsiMinus,1899.0,215520.0,107576.0,108922.0,109795.0,109578.0,212693.0,2317.0,97920.0,111830.0,101434.0,116995.0,109535.0,115861.0,1421.0,105039.0,119154.0,223381.0,104821.0,105167.0,110183.0,1408.0,209689.0,102936.0,109239.0,109646.0,94206.0,217842.0,2733.0,124324.0,101383.0,105907.0,205559.0,114986.0,92859.0,1719.0
PSIMINUStwoQBtomo_150mW_2023-02-10--15h-53m_10--16h-00mS1.csv,150.0,PsiMinus,3369.0,325501.0,162584.0,163677.0,169180.0,165518.0,320129.0,3929.0,150184.0,169145.0,152262.0,175420.0,165757.0,171717.0,2509.0,158041.0,179562.0,336563.0,160827.0,154528.0,166341.0,2736.0,318263.0,155550.0,163078.0,173622.0,142626.0,330524.0,4663.0,189656.0,153304.0,160127.0,311228.0,173118.0,141724.0,3082.0
PSIMINUStwoQBtomo_200mW_2023-02-10--16h-50m_10--16h-58mS1.csv,200.0,PsiMinus,5164.0,433280.0,216968.0,216641.0,223705.0,220534.0,426545.0,5920.0,199009.0,226482.0,202488.0,234160.0,220692.0,229753.0,4069.0,209953.0,239400.0,447234.0,209210.0,208791.0,222335.0,4038.0,423466.0,206724.0,222500.0,231307.0,191024.0,436961.0,6654.0,250525.0,205378.0,214822.0,413225.0,230471.0,189905.0,4676.0
PSIMINUStwoQBtomo_20mW_2023-02-10--14h-43m_10--14h-50mS1.csv,20.0,PsiMinus,275.0,43535.0,21632.0,21232.0,22381.0,22101.0,42674.0,389.0,19836.0,22617.0,20116.0,23263.0,22095.0,22777.0,157.0,20992.0,24363.0,44746.0,21572.0,20958.0,21788.0,193.0,42187.0,20881.0,21455.0,22816.0,19308.0,43651.0,432.0,25235.0,20426.0,21054.0,41505.0,23326.0,18755.0,224.0
PSIMINUStwoQBtomo_250mW_2023-02-10--17h-07m_10--17h-14mS1.csv,250.0,PsiMinus,7074.0,533672.0,269563.0,265190.0,276722.0,273875.0,526867.0,8060.0,244448.0,279760.0,251642.0,288452.0,272183.0,282821.0,5508.0,259241.0,294748.0,548775.0,265047.0,255631.0,274151.0,5817.0,522997.0,256447.0,269398.0,285917.0,237881.0,539279.0,8977.0,308466.0,251904.0,266554.0,511844.0,283929.0,233783.0,6537.0
PSIMINUStwoQBtomo_50mW_2023-02-10--15h-36m_10--15h-43mS1.csv,50.0,PsiMinus,805.0,108409.0,54221.0,54813.0,55769.0,54788.0,107570.0,959.0,49018.0,55865.0,50974.0,58763.0,55178.0,57331.0,485.0,52836.0,59967.0,112165.0,53884.0,54375.0,56169.0,501.0,105698.0,52097.0,53841.0,56834.0,46889.0,111076.0,1234.0,63470.0,51173.0,53130.0,103393.0,57442.0,47116.0,690.0
PSIPLUStwoQBtomo_100mW_2023-02-10--11h-26m_10--11h-34mS1.csv,100.0,PsiPlus,216924.0,2089.0,104859.0,106198.0,111446.0,114146.0,2097.0,221342.0,105223.0,107146.0,117416.0,116751.0,113753.0,116288.0,1662.0,109378.0,120583.0,228593.0,107295.0,107807.0,99522.0,212210.0,1632.0,112737.0,110131.0,114777.0,109715.0,1262.0,224450.0,119410.0,108547.0,104174.0,211999.0,105340.0,107122.0,1368.0
PSIPLUStwoQBtomo_150mW_2023-02-10--11h-39m_10--11h-46mS1.csv,150.0,PsiPlus,322860.0,3641.0,154831.0,158999.0,165032.0,170423.0,3426.0,327411.0,157557.0,159138.0,174344.0,171556.0,166363.0,172027.0,2711.0,160008.0,177337.0,336097.0,160495.0,163512.0,149841.0,316954.0,3080.0,167288.0,164405.0,169215.0,162755.0,2386.0,334629.0,177753.0,161886.0,153037.0,311926.0,154989.0,159104.0,2542.0
PSIPLUStwoQBtomo_200mW_2023-02-10--11h-49m_10--11h-56mS1.csv,200.0,PsiPlus,437370.0,5624.0,212987.0,220327.0,221837.0,231464.0,5248.0,446955.0,216380.0,215373.0,240279.0,234238.0,228914.0,236294.0,4527.0,221425.0,243247.0,460631.0,219193.0,225303.0,206016.0,431421.0,4753.0,228069.0,224124.0,225076.0,220177.0,4001.0,455728.0,240585.0,221925.0,209874.0,427130.0,215995.0,217653.0,4243.0
PSIPLUStwoQBtomo_20mW_2023-02-10--12h-08m_10--12h-15mS1.csv,20.0,PsiPlus,42537.0,303.0,20966.0,20881.0,21537.0,22198.0,311.0,43090.0,20890.0,20880.0,22727.0,22973.0,22353.0,22483.0,174.0,21319.0,23437.0,44985.0,20416.0,20792.0,19219.0,41561.0,227.0,21830.0,22410.0,22330.0,21030.0,131.0,44275.0,22991.0,21383.0,20281.0,41493.0,20527.0,20946.0,188.0
PSIPLUStwoQBtomo_250mW_2023-02-10--11h-58m_10--12h-05mS1.csv,250.0,PsiPlus,527164.0,7501.0,253630.0,267275.0,265896.0,278347.0,7256.0,532608.0,259846.0,257923.0,287451.0,277540.0,270111.0,282404.0,5899.0,263643.0,290346.0,549290.0,257896.0,268781.0,250657.0,519243.0,6436.0,275044.0,277606.0,276841.0,264806.0,5360.0,547949.0,288290.0,267734.0,249019.0,511090.0,259740.0,260858.0,5841.0
PSIPLUStwoQBtomo_50mW_2023-02-10--11h-16m_10--11h-23mS1.csv,50.0,PsiPlus,102886.0,850.0,49823.0,49978.0,52255.0,54099.0,727.0,104142.0,50970.0,51491.0,55267.0,54901.0,54700.0,55951.0,632.0,52614.0,57003.0,110203.0,50979.0,51016.0,47230.0,100201.0,574.0,53558.0,51543.0,53087.0,52721.0,448.0,105632.0,55709.0,52303.0,49907.0,101753.0,50606.0,50986.0,502.0
