feature,importance,importance_pct
"r,v",0.041397798910833734,4.139779891083372
"a,r",0.040942265702033506,4.094226570203349
"v,l",0.039503488142450596,3.950348814245059
"d,r",0.03863999045146599,3.863999045146598
"r,h",0.03836460573920649,3.836460573920648
"v,h",0.03829769628461173,3.829769628461172
"a,h",0.038018661583331385,3.8018661583331377
"v,r",0.037985650754127964,3.7985650754127955
"d,v",0.03795549012174985,3.795549012174984
"r,a",0.03741643725066328,3.741643725066327
"l,d",0.03667815500817996,3.667815500817995
"h,d",0.03651728776752547,3.651728776752546
"a,l",0.03562034047338718,3.5620340473387166
"l,v",0.03495542317717829,3.4955423177178284
"h,h",0.03347559040795253,3.3475590407952525
"v,v",0.033294774489818824,3.3294774489818817
"d,l",0.03324480903854641,3.32448090385464
"l,a",0.032966599343032796,3.2966599343032787
"h,v",0.032314780728371156,3.2314780728371146
"h,r",0.032127225132086795,3.2127225132086785
"r,d",0.031405106711313864,3.1405106711313855
"h,l",0.031184250583758243,3.1184250583758235
"v,d",0.030801005284565138,3.080100528456513
"h,a",0.03078406051020661,3.0784060510206603
"a,v",0.030769863126442584,3.0769863126442574
"d,h",0.03011502532448006,3.0115025324480054
"l,h",0.027530263764337794,2.753026376433779
"v,a",0.027442544333690724,2.744254433369072
"r,l",0.004817031359384601,0.48170313593846004
"a,d",0.004503126621797054,0.4503126621797052
"l,l",0.004395958143367308,0.4395958143367307
"r,r",0.004324686375722039,0.4324686375722038
"d,a",0.0036644673943252025,0.3664467394325202
"a,a",0.00320970317942601,0.32097031794260095
"d,d",0.0030091694339574493,0.3009169433957449
"l,r",0.0019238000580299448,0.1923800058029944
cat__state_PsiMinus,0.0002039460908956617,0.020394609089566168
cat__state_PsiPlus,0.00019892119774582483,0.019892119774582478
